Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
190,Montrezl Harrell,C,29,PHI,54,7,11.8,2.1,3.5,0.595,0,0.1,0,2.1,3.4,0.608,0.595,1.1,1.6,0.69,1.1,1.5,2.6,0.6,0.3,0.5,0.6,1.4,5.3
191,Gary Harris,SG,28,ORL,47,41,24.7,2.9,6.4,0.455,2,4.5,0.437,0.9,1.9,0.5,0.61,0.6,0.6,0.9,0.4,1.6,2,1.2,1,0.3,0.6,2,8.4
192,Joe Harris,SG,31,BRK,71,33,20.8,2.7,6,0.454,1.9,4.5,0.423,0.8,1.5,0.547,0.612,0.2,0.3,0.625,0.3,1.9,2.2,1.4,0.5,0.2,0.6,2,7.5
193,Kevon Harris,SG,25,ORL,31,0,12.4,1.1,2.7,0.41,0.4,1,0.367,0.7,1.7,0.434,0.476,0.7,0.9,0.815,0.8,1.1,1.9,0.4,0.5,0.1,0.5,1.4,3.3
194,Tobias Harris,PF,30,PHI,72,72,33,5.8,11.5,0.503,1.7,4.4,0.391,4.1,7.1,0.572,0.578,1.5,1.8,0.874,0.9,4.8,5.7,2.5,0.9,0.6,1.2,2,14.8
195,Shaquille Harrison,SG,29,POR,2,0,21,1.5,3.5,0.429,1,1.5,0.667,0.5,2,0.25,0.571,0,0.5,0,0,4.5,4.5,5,1.5,0,1,3,4
196,Josh Hart,SF-SG,27,TOT,73,51,32.3,3.7,6.8,0.536,0.8,2.2,0.38,2.8,4.7,0.609,0.596,1.7,2.3,0.749,1.8,5.9,7.7,3.8,1.1,0.3,1.5,2.6,9.8
196,Josh Hart,SF,27,POR,51,51,33.4,3.6,7.1,0.504,0.7,2.2,0.304,2.9,4.9,0.594,0.551,1.7,2.3,0.731,1.9,6.3,8.2,3.9,1.1,0.2,1.5,2.6,9.5
196,Josh Hart,SG,27,NYK,22,0,29.7,3.8,6.1,0.622,1.2,2.1,0.565,2.6,4,0.652,0.719,1.7,2.2,0.792,1.8,4.9,6.7,3.5,1.3,0.5,1.5,2.5,10.5
197,Isaiah Hartenstein,C,24,NYK,79,7,19.9,2.1,4,0.534,0.1,0.5,0.216,2,3.5,0.576,0.546,0.6,0.9,0.676,2.6,4,6.6,1.1,0.7,0.8,0.8,2.6,4.9
